id,name,followers,popularity,genres,main_genre,n_genres
6yrofubu5zrchi2xkir5pk,brian hyland,67223,47,[],pop,0
5tfrohao5yesujxmmnlco9,barns courtney,602647,62,[],electronic,0
3w1q754jb31h5cxqccnlnl,capcom sound team,210392,58,"['japanese vgm', 'soundtrack']",electronic,2
3odbviiivrwhxwie8hxkvv,the beach boys,5139194,76,['baroque pop'],classical,1
60zvrmhqhrxokeb1taavpn,beth malone,1569,29,['musicals'],classical,1
4hxdvvq5t8ebpypdbl1f9f,hellyeah,769490,52,"['groove metal', 'metal']",rock,2
2jwrhcdgkrhelyemqnddke,yxngxr1,143628,45,[],hip-hop,0
07d5etnpjriczfbb8pxmre,bj the chicago kid,464821,59,[],hip-hop,0
50by8hgxt0sudgjx3ailtt,sesame street,138888,65,"[""children's music""]",folk,1
3hyggjxu73juzba757h6r5,the mountain goats,419856,57,"['folk punk', 'anti-folk', 'indie folk']",folk,3
0kufoahp20vqhudhieaa8r,cookie monster,41911,56,"[""children's music""]",folk,1
5ns1ly8egnopsitbbnpli6,clorofila,20782,16,"['mexican indie', 'latin alternative', 'electrocumbia']",electronic,3
41x3tk4pmcp109a09rytxj,ram-zet,4100,7,"['avant-garde', 'progressive metal', 'gothic metal', 'industrial metal']",rock,4
7eeivzvj6rcetvx2f2pyxu,slim jxmmi,117904,54,[],hip-hop,0
5i4jbhykeca702yxs68rgf,catherine zeta-jones,25737,51,['musicals'],classical,1
1znqqnideouzhb8zbzrfmx,swae lee,3146480,79,[],hip-hop,0
7if8dxzn7mlgdqkle2famo,the gaslight anthem,362398,52,[],rock,0
6cutt8thpfuicmfxayerwd,my first story,718506,60,"['j-rock', 'j-pop', 'anime']",pop,3
7iztzyczp3litcw1wtpi3d,rae sremmurd,7811582,72,[],hip-hop,0
2tksdffckyimrhyl1a5bbf,laura osnes,16585,42,['musicals'],classical,1
6pdcqa7by8ikuovxvgknli,rilès,929303,63,['french rap'],hip-hop,1
3bw9arkzzhle53ca3djw8z,jeanine tesori,1658,35,['musicals'],classical,1
498olugbv0hspmrhokzvaa,alexander hanson,687,41,[],classical,0
0cka42jqrc9fsfbdjepaxp,big krit,950632,58,['southern hip hop'],hip-hop,1
1chfz6lrt7kasbv8j2ny1g,the blues brothers,448981,56,"['blues', 'blues rock']",blues,2
47mxbsv8e4ssfimqjxzepn,suis la lune,29185,32,"['screamo', 'midwest emo', 'post-hardcore', 'emo', 'mathcore', 'math rock']",rock,6
3rpd8eptywgxq5te4laewy,harriet harris,270,24,['musicals'],classical,1
7ihxhgerkdpvuaib67gcsj,diana panton,21816,39,"['vocal jazz', 'french jazz']",jazz,2
0oe1qxknblydwqt51qjyrg,michael cerveris,2755,31,['musicals'],classical,1
6vr32ivltxtuggxiehgiqe,ryan silverman,125,8,['musicals'],classical,1
4yan46l70qv0pgxlmg0ihi,dillinger four,36619,35,"['punk', 'skate punk', 'melodic hardcore', 'pop punk']",rock,4
27r1aby7ffkyevfyen4smp,george birge,75043,54,['country'],country,1
0k9kvbqy5b8j1jbqm4xcma,roberta colindrez,91,12,['musicals'],classical,1
1vrc8qdkfbw7mkwshqecxz,lisa kron,135,31,['musicals'],classical,1
743ob85i8bftmrfunao1rs,ann harada,1053,35,['musicals'],classical,1
4ngfozcl9ml67xzm0xzivc,janis joplin,3604137,62,"['classic rock', 'psychedelic rock', 'acid rock']",rock,3
7thd518apjjyugyv9bidbz,judy kuhn,37426,55,[],classical,0
7arqa31azvs8ys6zuvewzb,cj,282841,62,['dembow'],hip-hop,1
3fcu4xku7smobrcqentrsj,little apple band,6963,33,[],folk,0
5rx1eodzfwxmw4fqx2caot,jonny lang,265349,48,"['blues', 'blues rock', 'modern blues']",blues,3
4qgkwf55nqfgytozkozprf,one morning left,38169,34,"['metalcore', 'post-hardcore']",rock,2
1fzpywnwdl5z3wrdtisfuh,shakey graves,594751,58,['indie folk'],folk,1
51blml2lzpmy7ttiag47vq,u2,13715623,78,['rock'],rock,1
3uul93abt7zywawx0qa7mc,breadwinner,5014,16,"['math rock', 'noise rock', 'mathcore', 'post-hardcore']",rock,4
4pfb5ycz7ohbhvs623cmdf,emily skeggs,666,23,['musicals'],classical,1
1pofnqqdfxvoym6dx8coaa,esmé patterson,28777,23,[],country,0
2nc0nvcp3ijvpcpepplwof,sydney lucas,326,26,['musicals'],classical,1
6rvrufagvsab4b82u8wssh,envy on the coast,37014,31,['post-hardcore'],rock,1
3q6ookfssqomsttl11j5uk,love,273598,46,"['psychedelic rock', 'baroque pop', 'acid rock', 'proto-punk']",rock,4
55cxg5kdjprywbopfyajha,jorma kaukonen,34539,35,"['jam band', 'country blues']",blues,2
4tbtut49imxeimmndifhb1,stephen sondheim,93717,51,['musicals'],classical,1
4plsmek2dcrvlvl2a9azav,soak,88596,42,[],folk,0
6uwtyhptwb5romlaxqf1h6,marla mindelle,96,24,['musicals'],classical,1
2sykccyzuqfnjotw0miojl,onsind,10756,18,"['folk punk', 'queercore', 'anti-folk']",folk,3
1trvqozkc5qk1cjwrdwbsl,secrets,141707,40,"['post-hardcore', 'metalcore', 'screamo']",rock,3
